Zeitstempel,"Ich bestätige, dass ich die oben genannten Erklärungen gelesen und verstanden habe (bitte ankreuzen).",Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?
12.01.2023 11:29:51,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2
12.01.2023 11:30:17,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:35:12,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:35:57,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:37:07,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2
12.01.2023 11:43:45,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2
12.01.2023 11:44:59,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:46:07,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:47:20,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:47:23,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:49:18,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2
12.01.2023 11:52:11,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:53:23,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1
12.01.2023 11:55:13,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2
12.01.2023 11:56:10,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1
12.01.2023 11:58:33,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2
12.01.2023 12:00:30,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2
12.01.2023 12:03:19,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1
12.01.2023 12:04:06,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1
12.01.2023 12:06:06,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 12:17:03,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2
12.01.2023 12:20:30,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2
12.01.2023 12:29:51,Ja,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 12:46:34,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 12:48:13,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2
12.01.2023 12:54:38,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2
12.01.2023 12:55:15,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 13:02:09,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 13:13:12,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 13:33:12,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 13:45:37,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 13:45:52,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 13:46:12,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 13:52:11,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2
12.01.2023 14:06:29,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1
12.01.2023 14:11:54,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 14:16:06,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 14:18:18,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
